StopID,CleverID,PlaceNumber,StopName,Latitude,Longitude,Served by Routes,Layover or End of Line,Layover_Type,Property Owner,Agreement,Maintained By,Property_Owner,Risk_Level,ExpirationAgreement,Agreement_link,Notes,Potential_Backups,Intersect directly with PRT owned parcel,PAAC/None,Public/Low,Public/Moderate,Others,Estimated Sq. Footage,Addtl. Details,Street view link
W12703,15438,00572,MALL AT ROBINSON AT ENTRANCE K,40.4529,-80.157,24,Layover,Off-Street,,,,Private,Moderate,,,They move us around occasionally,,,0,0,0,1,Small,Residential,"https://www.google.com/maps/@40.5376211,-80.1853846,3a,75y,316.57h,80.42t/data=!3m7!1e1!3m5!1sD3HcXg0LVySuwO0P0xBywA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DD3HcXg0LVySuwO0P0xBywA%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D76.4492%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192"
N09505,318,01144,MCCANDLESS PARK AND RIDE,40.5867,-80.0302,"12, O12",Layover,Off-Street,,,,PAAC,None,,,Project underway to build full facilities,,1,1,0,0,0,Medium,Private parking lot,"https://www.google.com/maps/@40.4110078,-79.9060514,3a,75y,293.67h,90t/data=!3m7!1e1!3m5!1skvDIczM3WPPA5le5zBMaMQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DkvDIczM3WPPA5le5zBMaMQ%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D299.93463%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192"
W70037,17367,00588,MCCARTAN DR OPP 4TH AISLE (Pittsburgh Technical College),40.4252,-80.1886,29,Layover,Off-Street,,,,Private,Low,,,Supportive management,,,0,0,0,1,Medium,Private parking lot,"https://www.google.com/maps/@40.3222019,-79.8350321,3a,75y,27.34h,90t/data=!3m7!1e1!3m5!1smyyRjGSOsZoLJfjGkEoXmQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DmyyRjGSOsZoLJfjGkEoXmQ%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D21.512617%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192"
S33262,17791,05018,MCKEESPORT TRANSPORTATION CENTER AT BAY #2,40.3523,-79.8606,"61C, P7",Layover,Off-Street,,,,PAAC,None,,,,,1,1,0,0,0,Large,Looks good,"https://www.google.com/maps/@40.2950227,-79.909967,3a,75y,258.83h,89.8t/data=!3m7!1e1!3m5!1s6vweooV8yJRSCwoSIB0XWQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3D6vweooV8yJRSCwoSIB0XWQ%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D191.63477%26pitch%3D0%26thumbfov%3D100!7i3328!8i1664"
S70594,10592,* No 60,MCKEESPORT TRANSPORTATION CENTER AT BAY #4 3,40.3523,-79.8612,60,Layover,Off-Street,,,,PAAC,None,,,,,1,1,0,0,0,Medium,Private parking lot,"https://www.google.com/maps/@40.3879202,-79.8232744,3a,75y,339.44h,90.09t/data=!3m7!1e1!3m5!1sF2RJuifENZlvy9tWOx6Vdw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DF2RJuifENZlvy9tWOx6Vdw%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D93.63243%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192"
S33290,2531,04030,MCKINLEY ST AT BROWNSVILLE RD,40.4088,-79.9915,54,Layover,Street,COP,Verbal,PRTs Contractor,Public,Moderate,,,Complaints from Uni-Mart,Reroute along Brownsville to Shop-n-save or Brentwood Loop,,0,0,1,0,Large,Looks good,"https://www.google.com/maps/@40.3615747,-79.929802,3a,75y,314.78h,96.68t/data=!3m7!1e1!3m5!1sRt6cM5FtH9f2M4brtKOWrA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DRt6cM5FtH9f2M4brtKOWrA%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D311.2288%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192"
S33280,2513,01330,MCKINLEY ST AT BROWNSVILLE RD FS,40.4089,-79.9915,54,Layover,Street,COP,Verbal,PRTs Contractor,Public,Moderate,,,Complaints from Uni-Mart,Reroute along Brownsville to Shop-n-save or Brentwood Loop,,0,0,1,0,Small,off busy road,"https://www.google.com/maps/@40.4445886,-79.9436965,3a,75y,23.23h,86.27t/data=!3m7!1e1!3m5!1sN8ARqoYVowh1KSuJLQuckw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DN8ARqoYVowh1KSuJLQuckw%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D4.394556%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192"
E70839,3230,01497,MELLON TERRACE AT N NEGLEY AVE,40.4796,-79.922,71B,Layover,Street,,,,Public,,,,"With BRT service for 71B was moved from Mellon Terrace, however the layover still exists in Hastus as an intermediate layover. Because there are never more than 2 buses (the max capacity) at Bunkerhill at the same time operations has just been letting the 71B layover there. This may need eliminated with the BRT changes.",,,0,0,0,0,Medium,Looks like it is mostly private parking lot,"https://www.google.com/maps/@40.4852856,-79.7999607,3a,75y,38.49h,99.2t/data=!3m6!1e1!3m4!1sI15Bc1KKSwRa2JeyAEcLrQ!2e0!7i16384!8i8192"
E71015,22755,00144,MONROEVILLE MALL AT PARK AND RIDE LAYOVER TERMINAL,40.42880395,-79.79947857,"67, P68, P67",,,,,,,,,,"Due to the length of these trips this isn't currently used (trips just return to the garage), but we may explore reversing the trips so they layover here in the future",,,0,0,0,0,Small,no space,"https://www.google.com/maps/@40.4088411,-79.991386,3a,75y,169.39h,82.34t/data=!3m7!1e1!3m5!1scMx_hhstVi5wUPh887BvGw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DcMx_hhstVi5wUPh887BvGw%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D19.052414%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192"
,,,Munhall Loop,,,,,Off-Street,,,,,,,,Not currently used by avail if needed,,,0,0,0,0,Small,does not appear to have enough space to turn,"https://www.google.com/maps/@40.3822676,-80.0434821,3a,75y,357.14h,92.85t/data=!3m7!1e1!3m5!1s9nMC5WyCR8fQCpCk1-r8KQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3D9nMC5WyCR8fQCpCk1-r8KQ%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D24.411009%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192"
