,trip_id,block_id,route_id,trip_headsign,trip_start_time,service_id_start,start_stop,start_stop_id,trip_end_time,number_total_stops,total_distance_traveled,service_id_end,end_stop,end_stop_id,trip_start_datetime,trip_end_datetime,timeDelta,timeDelta_minutes,timeDelta_hours
34,7906070,183316207.0,28X,OUTBOUND-PITTSBURGH INTL AIRPORT,07:17:00,3,FIFTH AVE + MCPHERSON FS,8308,08:13:00,40,27.660500577876647,3,PGH AIRPORT UPPER LEVEL (DEPARTURES),22827,2023-01-01 07:17:00,2023-01-01 08:13:00,0 days 00:56:00,56.0,0.9333333333333332
35,11671070,183316207.0,28X,INBOUND-DOWNTOWN,08:30:00,3,PGH INTERNL AIRPORT LOWER LEVEL (DOOR2),4405,09:30:00,41,27.530782805373633,3,EAST LIBERTY DRWY + FIFTH FS,16029,2023-01-01 08:30:00,2023-01-01 09:30:00,0 days 01:00:00,60.0,1.0
36,8151070,183316307.0,71C,INBOUND-DOWNTOWN,12:04:00,3,EAST BUSWAY + WILKINSBURG STATION B,16111,12:56:00,72,8.85656231747176,3,FIFTH AVE + WOOD ST,20856,2023-01-01 12:04:00,2023-01-01 12:56:00,0 days 00:52:00,52.0,0.8666666666666667
37,7464070,183316307.0,71C,OUTBOUND-POINT BREEZE VIA OAKLAND,12:56:00,3,FIFTH AVE + WOOD ST,20856,13:45:00,68,7.991499620962632,3,EAST BUSWAY + WILKINSBURG STATION D,16118,2023-01-01 12:56:00,2023-01-01 13:45:00,0 days 00:49:00,49.0,0.8166666666666667
38,3605070,183316307.0,71C,INBOUND-DOWNTOWN,14:04:00,3,EAST BUSWAY + WILKINSBURG STATION B,16111,14:56:00,72,8.85656231747176,3,FIFTH AVE + WOOD ST,20856,2023-01-01 14:04:00,2023-01-01 14:56:00,0 days 00:52:00,52.0,0.8666666666666667
39,7323070,183316307.0,71C,OUTBOUND-POINT BREEZE VIA OAKLAND,14:56:00,3,FIFTH AVE + WOOD ST,20856,15:45:00,68,7.991499620962632,3,EAST BUSWAY + WILKINSBURG STATION D,16118,2023-01-01 14:56:00,2023-01-01 15:45:00,0 days 00:49:00,49.0,0.8166666666666667
40,9136070,183316407.0,71C,INBOUND-DOWNTOWN,10:08:00,3,EAST BUSWAY + WILKINSBURG STATION B,16111,10:56:00,72,8.85656231747176,3,FIFTH AVE + WOOD ST,20856,2023-01-01 10:08:00,2023-01-01 10:56:00,0 days 00:48:00,48.0,0.8
41,12636070,183316407.0,71C,OUTBOUND-POINT BREEZE VIA OAKLAND,10:56:00,3,FIFTH AVE + WOOD ST,20856,11:41:00,68,7.991499620962632,3,EAST BUSWAY + WILKINSBURG STATION D,16118,2023-01-01 10:56:00,2023-01-01 11:41:00,0 days 00:45:00,45.0,0.75
42,3636070,183316407.0,71D,INBOUND-DOWNTOWN VIA OAKLAND,12:02:00,3,EAST BUSWAY + WILKINSBURG STATION B,16111,12:48:00,68,8.092435408304025,3,FIFTH AVE + WOOD ST,20856,2023-01-01 12:02:00,2023-01-01 12:48:00,0 days 00:46:00,46.0,0.7666666666666667
43,12117070,183316407.0,71D,OUTBOUND-HAMILTON VIA OAKLAND-SHADYSIDE-5TH AV,12:48:00,3,FIFTH AVE + WOOD ST,20856,13:32:00,67,7.494364149278586,3,EAST BUSWAY + WILKINSBURG STATION D,16118,2023-01-01 12:48:00,2023-01-01 13:32:00,0 days 00:44:00,44.0,0.7333333333333333
