route_id,total_distance_traveled,trip_headsign
P12,22.46877601998335,INBOUND-DOWNTOWN
P12,19.906452334497374,INBOUND-DOWNTOWN VIA BEACON HILL
P12,22.503715808965165,OUTBOUND-HOLIDAY PARK
P13,14.25909379000087,INBOUND-DOWNTOWN
P13,14.467098313594391,OUTBOUND-MOUNT ROYAL
P16,18.18109287036922,OUTBOUND-UNITY-CENTER
P16,25.79401493780059,OUTBOUND- HULTON ARBORS & HARMAR
P16,18.181676960741672,INBOUND-DOWNTOWN
P16,17.300253520076556,OUTBOUND-CENTER
P16,22.29328793169871,OUTBOUND-HULTON ARBORS & HARMAR
P17,8.791802850858117,OUTBOUND-LINCOLN PARK
P17,13.344607106018616,INBOUND-DOWNTOWN
P2,7.334590577503822,OUTBOUND-WILKINSBURG
P2,6.815744342401233,INBOUND-DOWNTOWN
P3,8.109572868380827,INBOUND-OAKLAND
P3,8.090248176271018,OUTBOUND-SWISSVALE
P67,14.29405222016479,INBOUND-DOWNTOWN
P67,14.184205947779835,OUTBOUND-MONROEVILLE MALL
P68,18.903028570718437,OUTBOUND-BRADDOCK HILLS - MONROEVILLE
P68,22.44882995513689,INBOUND-DOWNTOWN
P68,23.005654491903517,OUTBOUND-BRADDOCK HILLS - FORBES HOSPITAL
P68,0.1732262915232331,INBOUND-MONROEVILLE MALL
P69,18.402581182348044,INBOUND-PITTSBURGH
P69,18.374874172020828,OUTBOUND-TRAFFORD
P69,0.7766227149017609,INBOUND-TRAFFORD
P7,15.72995762237936,OUTBOUND-MCKEESPORT VIA EDGEWOOD - DUQUESNE
P7,17.5369281817391,INBOUND-DOWNTOWN
P71,12.175556439285671,OUTBOUND-EDGEWOOD TOWN CENTER
P71,12.111679321958071,INBOUND-DOWNTOWN
P71,12.916630419923695,OUTBOUND-SWISSVALE
P71,0.1654591323151105,INBOUND-TOWN
P76,21.350218101830567,INBOUND-DOWNTOWN
P76,20.952856450470374,OUTBOUND-OLYMPIA PARK-AND-RIDE
P76,0.4385462363453341,INBOUND-OLYMPIA PNR 
P78,17.48474529931525,INBOUND-DOWNTOWN
P78,17.462487727888455,OUTBOUND-OAKMONT FLYER VIA LAKETON ROAD
Y1,13.80978537785676,INBOUND-DOWNTOWN
Y1,13.865976114432003,OUTBOUND-LARGE PARK-AND-RIDE
Y45,12.532143611666896,INBOUND-DOWNTOWN
Y45,12.304081176134318,OUTBOUND-WINDOVER HILLS
Y46,19.935426945207357,OUTBOUND-ELIZABETH
Y46,19.742378863384992,INBOUND-DOWNTOWN
Y47,13.150353561087154,OUTBOUND-CENTURY SQUARE
Y47,13.813967216374415,INBOUND-DOWNTOWN
Y49,13.317533895882784,OUTBOUND-PROSPECT - CCAC
Y49,13.557284352591743,INBOUND-DOWNTOWN
