trip_id,Unnamed: 0,block_id,route_id,trip_headsign,trip_start_time,service_id_start,start_stop,start_stop_id,trip_end_time,number_total_stops,total_distance_traveled,service_id_end,end_stop,end_stop_id,trip_start_datetime,trip_end_datetime,timeDelta,timeDelta_minutes,timeDelta_hours
3595070,625,183328407,71B,INBOUND-DOWNTOWN,21:25:00,3,ST CLAIR ST + BUNKER HILL APTS,3118,22:03:00,60,6.827786546,3,FIFTH AVE + WOOD ST,20856,1/1/2023 21:25,1/1/2023 22:03,0 days 00:38:00,38.0,0.633333333
10918070,626,183328407,71B,OUTBOUND-HIGHLAND PARK,22:03:00,3,FIFTH AVE + WOOD ST,20856,22:39:00,59,6.455453789,3,BUNKERHILL ST + ST CLAIR NS,3283,1/1/2023 22:03,1/1/2023 22:39,0 days 00:36:00,36.0,0.6
8287070,627,183328407,71B,INBOUND-DOWNTOWN,23:01:00,3,ST CLAIR ST + BUNKER HILL APTS,3118,23:33:00,60,6.827786546,3,FIFTH AVE + WOOD ST,20856,1/1/2023 23:01,1/1/2023 23:33,0 days 00:32:00,32.0,0.533333333
14122070,628,183328407,71B,OUTBOUND-HIGHLAND PARK,23:33:00,3,FIFTH AVE + WOOD ST,20856,24:03:00,59,6.455453789,3,BUNKERHILL ST + ST CLAIR NS,3283,1/1/2023 23:33,1/2/2023 0:03,0 days 00:30:00,30.0,0.5
8491070,694,183329907,71B,INBOUND-DOWNTOWN,12:21:00,3,ST CLAIR ST + BUNKER HILL APTS,3118,13:03:00,60,6.827786546,3,FIFTH AVE + WOOD ST,20856,1/1/2023 12:21,1/1/2023 13:03,0 days 00:42:00,42.0,0.7
7952070,695,183329907,71B,OUTBOUND-HIGHLAND PARK,13:03:00,3,FIFTH AVE + WOOD ST,20856,13:43:00,59,6.455453789,3,BUNKERHILL ST + ST CLAIR NS,3283,1/1/2023 13:03,1/1/2023 13:43,0 days 00:40:00,40.0,0.666666667
13777070,696,183329907,71B,INBOUND-DOWNTOWN,14:21:00,3,ST CLAIR ST + BUNKER HILL APTS,3118,15:03:00,60,6.827786546,3,FIFTH AVE + WOOD ST,20856,1/1/2023 14:21,1/1/2023 15:03,0 days 00:42:00,42.0,0.7
2767070,697,183329907,71B,OUTBOUND-HIGHLAND PARK,15:03:00,3,FIFTH AVE + WOOD ST,20856,15:43:00,59,6.455453789,3,BUNKERHILL ST + ST CLAIR NS,3283,1/1/2023 15:03,1/1/2023 15:43,0 days 00:40:00,40.0,0.666666667
9689070,704,183330107,71B,INBOUND-DOWNTOWN,16:19:00,3,ST CLAIR ST + BUNKER HILL APTS,3118,17:01:00,60,6.827786546,3,FIFTH AVE + WOOD ST,20856,1/1/2023 16:19,1/1/2023 17:01,0 days 00:42:00,42.0,0.7
328070,705,183330107,71B,OUTBOUND-HIGHLAND PARK,17:01:00,3,FIFTH AVE + WOOD ST,20856,17:41:00,59,6.455453789,3,BUNKERHILL ST + ST CLAIR NS,3283,1/1/2023 17:01,1/1/2023 17:41,0 days 00:40:00,40.0,0.666666667
6587070,706,183330107,71B,INBOUND-DOWNTOWN,17:55:00,3,ST CLAIR ST + BUNKER HILL APTS,3118,18:33:00,60,6.827786546,3,FIFTH AVE + WOOD ST,20856,1/1/2023 17:55,1/1/2023 18:33,0 days 00:38:00,38.0,0.633333333
