,trip_id,Unnamed: 0,block_id,route_id,trip_headsign,trip_start_time,service_id_start,start_stop,start_stop_id,trip_end_time,number_total_stops,total_distance_traveled,service_id_end,end_stop,end_stop_id,trip_start_datetime,trip_end_datetime,timeDelta,timeDelta_minutes,timeDelta_hours
694,7296070,4890,183472907,61B,INBOUND-DOWNTOWN,18:02:00,3,BRADDOCK HILLS S C + STOREFRONT,12565,19:00:00,74,12.54858513,3,FIFTH AVE + WOOD ST,20856,1/1/2023 18:02,1/1/2023 19:00,0 days 00:58:00,58.0,0.966666667
695,4805070,4891,183472907,61B,OUTBOUND-BRADDOCK-SWISSVALE,19:00:00,3,FIFTH AVE + WOOD ST,20856,19:55:00,70,12.04171897,3,BRADDOCK HILLS SC + GIANT EAGLE,7357,1/1/2023 19:00,1/1/2023 19:55,0 days 00:55:00,55.0,0.916666667
704,10047070,4900,183473207,61A,INBOUND-DOWNTOWN VIA OAKLAND,16:22:00,3,BRADDOCK HILLS S C + STOREFRONT,12565,17:30:00,98,14.3126002,3,FIFTH AVE + WOOD ST,20856,1/1/2023 16:22,1/1/2023 17:30,0 days 01:08:00,68.0,1.133333333
705,5998070,4901,183473207,61A,OUTBOUND-BRADDOCK HILLS SHOPPING CENTER,17:30:00,3,FIFTH AVE + WOOD ST,20856,18:44:00,90,13.94525706,3,BRADDOCK HILLS SC + GIANT EAGLE,7357,1/1/2023 17:30,1/1/2023 18:44,0 days 01:14:00,74.0,1.233333333
706,1517070,4902,183473207,61B,INBOUND-DOWNTOWN,19:02:00,3,BRADDOCK HILLS S C + STOREFRONT,12565,20:00:00,74,12.54858513,3,FIFTH AVE + WOOD ST,20856,1/1/2023 19:02,1/1/2023 20:00,0 days 00:58:00,58.0,0.966666667
707,8034070,4903,183473207,61B,OUTBOUND-BRADDOCK-SWISSVALE,20:00:00,3,FIFTH AVE + WOOD ST,20856,20:55:00,70,12.04171897,3,BRADDOCK HILLS SC + GIANT EAGLE,7357,1/1/2023 20:00,1/1/2023 20:55,0 days 00:55:00,55.0,0.916666667
712,10457070,4912,183473507,61A,INBOUND-DOWNTOWN VIA OAKLAND,18:48:00,3,BRADDOCK HILLS S C + STOREFRONT,12565,19:45:00,98,14.3126002,3,FIFTH AVE + WOOD ST,20856,1/1/2023 18:48,1/1/2023 19:45,0 days 00:57:00,57.0,0.95
713,8849070,4913,183473507,61A,OUTBOUND-BRADDOCK HILLS SHOPPING CENTER,19:45:00,3,FIFTH AVE + WOOD ST,20856,20:52:00,90,13.94525706,3,BRADDOCK HILLS SC + GIANT EAGLE,7357,1/1/2023 19:45,1/1/2023 20:52,0 days 01:07:00,67.0,1.116666667
714,6891070,4914,183473507,61A,INBOUND-DOWNTOWN VIA OAKLAND,21:13:00,3,BRADDOCK HILLS S C + STOREFRONT,12565,22:15:00,98,14.3126002,3,FIFTH AVE + WOOD ST,20856,1/1/2023 21:13,1/1/2023 22:15,0 days 01:02:00,62.0,1.033333333
715,5178070,4915,183473507,61A,OUTBOUND-NORTH BRADDOCK,22:15:00,3,FIFTH AVE + WOOD ST,20856,23:05:00,84,12.47692843,3,BRADDOCK AVE + 6TH ST,20938,1/1/2023 22:15,1/1/2023 23:05,0 days 00:50:00,50.0,0.833333333
716,3165070,4922,183473707,61A,INBOUND-DOWNTOWN VIA OAKLAND,18:18:00,3,BRADDOCK HILLS S C + STOREFRONT,12565,19:15:00,98,14.3126002,3,FIFTH AVE + WOOD ST,20856,1/1/2023 18:18,1/1/2023 19:15,0 days 00:57:00,57.0,0.95
