trip,stop,location,time
5213070,16063,16063,0
1966070,16063,16063,0
4054070,16063,16063,0
11729070,16063,16063,0
7521070,16063,16063,0
4206070,16063,16063,0
4665070,16063,16063,0
12976070,16063,16063,0
12821070,16063,16063,0
8618070,16063,16063,0
7686070,16063,16063,0
6793070,16063,16063,0
1324070,16063,16063,0
1725070,16063,16063,0
5299070,16063,16063,0
2156070,16063,16063,0
4872070,16063,16063,0
10113070,16063,16063,0
1377070,16063,16063,0
7563070,16063,16063,0
3264070,16063,16063,0
13502070,16063,16063,0
12806070,16063,16063,0
12786070,16063,16063,0
5220070,16063,16063,0
8728070,16063,16063,0
6359070,16063,16063,0
2313070,16063,16063,0
13411070,16063,16063,0
6279070,16063,16063,0
7339070,16063,16063,0
1368070,16063,16063,0
2553070,16063,16063,0
379070,16063,16063,0
4242070,16063,16063,0
1745070,16063,16063,0
5909070,16063,16063,0
5241070,16063,16063,0
12419070,16063,16063,0
7544070,16063,16063,0
12178070,16063,16063,0
6967070,16063,16063,0
7231070,16063,16063,0
5616070,16063,16063,0
3948070,16063,16063,0
3825070,16063,16063,0
3890070,16063,16063,0
13370070,16063,16063,0
11829070,16063,16063,0
2393070,16063,16063,0
1355070,16063,16063,0
969070,16063,16063,0
4634010,16063,16063,0
10145010,16063,16063,0
13864010,16063,16063,0
1183010,16063,16063,0
5163010,16063,16063,0
3579010,16063,16063,0
6154010,16063,16063,0
13185010,16063,16063,0
10460010,16063,16063,0
455010,16063,16063,0
2924010,16063,16063,0
14005010,16063,16063,0
5982010,16063,16063,0
8625010,16063,16063,0
2201010,16063,16063,0
1271010,16063,16063,0
13731010,16063,16063,0
4283010,16063,16063,0
11479010,16063,16063,0
7809010,16063,16063,0
14057010,16063,16063,0
9069010,16063,16063,0
2213010,16063,16063,0
9083010,16063,16063,0
11612010,16063,16063,0
7682010,16063,16063,0
2395010,16063,16063,0
8373010,16063,16063,0
3428010,16063,16063,0
8807010,16063,16063,0
7182010,16063,16063,0
8817010,16063,16063,0
771010,16063,16063,0
7102010,16063,16063,0
13675010,16063,16063,0
7408010,16063,16063,0
11460010,16063,16063,0
5662010,16063,16063,0
1848010,16063,16063,0
7704010,16063,16063,0
12743010,16063,16063,0
4059010,16063,16063,0
