,trip_id,block_id,route_id,trip_headsign,trip_start_time,trip_end_time,start_stop_id,end_stop_id,start_stop_name,start_stop_lat,start_stop_lon,end_stop_name,end_stop_lat,end_stop_lon
3941,3562080,183440408.0,61D,OUTBOUND-WATERFRONT VIA OAKLAND-SQ HILL,15:58:00,16:41:00,20856,15418,FIFTH AVE + WOOD ST,40.440792,-80.000658,DRIVE TO LOWES + STOREFRONT DRIVE,40.41297,-79.903123
3942,6821080,183440508.0,61D,INBOUND-DOWNTOWN,17:04:00,17:58:00,15428,20856,AMITY ST + TARGET DRIVE,40.409837,-79.912281,FIFTH AVE + WOOD ST,40.440792,-80.000658
3943,230080,183440508.0,61D,OUTBOUND-WATERFRONT VIA OAKLAND-SQ HILL,17:58:00,18:41:00,20856,15418,FIFTH AVE + WOOD ST,40.440792,-80.000658,DRIVE TO LOWES + STOREFRONT DRIVE,40.41297,-79.903123
3944,5428080,183440508.0,61D,INBOUND-DOWNTOWN,19:11:00,19:58:00,15428,20856,AMITY ST + TARGET DRIVE,40.409837,-79.912281,FIFTH AVE + WOOD ST,40.440792,-80.000658
3945,8702080,183440508.0,61D,OUTBOUND-WATERFRONT VIA OAKLAND-SQ HILL,19:58:00,20:37:00,20856,15418,FIFTH AVE + WOOD ST,40.440792,-80.000658,DRIVE TO LOWES + STOREFRONT DRIVE,40.41297,-79.903123
3946,13845080,183440608.0,56,INBOUND-DOWNTOWN,10:50:00,11:40:00,21490,43,GREEN LOT + BROADWAY AVE,40.346081,-79.828415,BLVD OF ALLIES + STANWIX ST,40.439575,-80.004786
3947,13555080,183440608.0,56,OUTBOUND-PENN STATE - MCKEESPORT,11:40:00,12:29:00,43,21505,BLVD OF ALLIES + STANWIX ST,40.439575,-80.004786,BROADWAY AVE + RED LOT NS (CROSSWALK),40.34584,-79.827375
3948,8094080,183440608.0,56,INBOUND-DOWNTOWN,12:50:00,13:40:00,21490,43,GREEN LOT + BROADWAY AVE,40.346081,-79.828415,BLVD OF ALLIES + STANWIX ST,40.439575,-80.004786
3949,570080,183440608.0,56,OUTBOUND-PENN STATE - MCKEESPORT,13:40:00,14:29:00,43,21505,BLVD OF ALLIES + STANWIX ST,40.439575,-80.004786,BROADWAY AVE + RED LOT NS (CROSSWALK),40.34584,-79.827375
3950,2372080,183440708.0,64,INBOUND-SHADYSIDE,16:14:00,17:00:00,15428,18150,AMITY ST + TARGET DRIVE,40.409837,-79.912281,39TH ST + BUTLER,40.467498,-79.963592
3951,1423080,183440708.0,64,OUTBOUND-WATERFRONT,17:00:00,17:43:00,18150,15418,39TH ST + BUTLER,40.467498,-79.963592,DRIVE TO LOWES + STOREFRONT DRIVE,40.41297,-79.903123
3952,11480080,183440708.0,64,INBOUND-SHADYSIDE,18:14:00,19:00:00,15428,18150,AMITY ST + TARGET DRIVE,40.409837,-79.912281,39TH ST + BUTLER,40.467498,-79.963592
3953,326080,183440708.0,64,OUTBOUND-WATERFRONT,19:00:00,19:38:00,18150,15418,39TH ST + BUTLER,40.467498,-79.963592,DRIVE TO LOWES + STOREFRONT DRIVE,40.41297,-79.903123
3954,3674080,183440808.0,56,INBOUND-DOWNTOWN,14:50:00,15:40:00,21490,43,GREEN LOT + BROADWAY AVE,40.346081,-79.828415,BLVD OF ALLIES + STANWIX ST,40.439575,-80.004786
