Date,Start SOC,End SOC,Duration,Distance,Seasonality,Electric_use
13-Jul,60.8,35.6,5:56:36,46.21,0,25.2
14-Jul,78,66.8,1:17:27,17.24,0,11.2
14-Jul,66.8,57.6,1:45:34,17.94,0,9.2
14-Jul,55.6,31.6,4:30:09,49.48,0,24
15-Jul,78,30,8:48:00,125.36,0,48
18-Jul,77.2,65.6,1:45:35,39.07,0,11.6
18-Jul,65.2,64.4,0:12:04,4.27,0,0.8
19-Jul,78.8,58.4,3:32:35,57.79,0,20.4
19-Jul,79.6,50,4:32:59,65.71,0,29.6
21-Jul,80,61,3:18:51,13,0,19
21-Jul,59,38,4:22:06,50,0,21
21-Jul,90,62,3:48:14,37,0,28
21-Jul,90,70,3:45:10,42,0,20
21-Jul,90,70,3:56:14,38,0,20
21-Jul,90,39,8:43:41,80,0,51
22-Jul,80,28,8:43:53,120,0,52
22-Jul,90,68,3:48:15,41,0,22
22-Jul,90,79,1:20:24,17,0,11
22-Jul,79,70,1:41:31,18,0,9
22-Jul,70,59,1:06:21,15,0,11
22-Jul,59,45,1:54:36,19,0,14
22-Jul,45,35,1:07:21,12,0,10
22-Jul,90,80,2:10:41,15,0,10
25-Jul,80,58,3:05:07,49,0,22
25-Jul,77,65,1:42:33,33,0,12
25-Jul,82,55,4:13:20,60,0,27
25-Jul,90,65,4:15:18,32,0,25
25-Jul,90,80,1:24:27,18,0,10
25-Jul,80,70,1:46:34,19,0,10
25-Jul,70,60,1:09:21,17,0,10
25-Jul,60,55,0:54:16,10,0,5
25-Jul,55,50,0:46:13,8,0,5
25-Jul,50,40,1:13:22,13,0,10
26-Jul,80,58,2:34:52,58,0,22
26-Jul,90,80,1:16:24,17,0,10
26-Jul,80,70,1:46:34,23,0,10
26-Jul,70,63,1:01:20,15,0,7
26-Jul,63,59,0:50:15,10,0,4
26-Jul,59,52,0:46:15,10,0,7
26-Jul,52,47,1:03:20,10,0,5
26-Jul,90,63,4:10:18,35,0,27
26-Jul,90,70,3:35:08,42,0,20
26-Jul,90,70,3:21:03,51,0,20
27-Jul,78,69,1:23:30,14,0,9
27-Jul,69,60,1:45:44,15,0,9
27-Jul,60,55,0:55:17,16,0,5
27-Jul,55,37,3:10:02,41,0,18
27-Jul,90,72,3:39:11,42,0,18
27-Jul,72,50,4:23:24,35,0,22
27-Jul,90,70,2:03:38,47,0,20
27-Jul,70,55,2:10:40,36,0,15
27-Jul,90,70,2:26:46,59,0,20
27-Jul,70,69,0:10:03,2,0,1
27-Jul,69,60,1:22:25,16,0,9
27-Jul,60,52,1:23:25,15,0,8
27-Jul,52,42,1:33:29,15,0,10
28-Jul,80,40,8:28:47,80,0,40
28-Jul,90,70,3:30:07,43,0,20
28-Jul,90,70,4:03:18,35,0,20
28-Jul,90,70,1:55:35,47,0,20
28-Jul,70,50,3:02:57,52,0,20
28-Jul,90,80,1:25:27,17,0,10
28-Jul,80,70,1:36:30,18,0,10
29-Jul,80,63,3:33:16,41,0,17
29-Jul,63,40,4:03:23,39,0,23
29-Jul,90,70,3:36:08,57,0,20
29-Jul,90,88,0:15:04,3,0,2
29-Jul,88,80,1:36:30,20,0,8
29-Jul,80,70,1:01:19,15,0,10
29-Jul,70,65,0:47:15,10,0,5
29-Jul,65,60,0:47:15,10,0,5
29-Jul,60,52,1:13:23,15,0,8
29-Jul,90,65,3:46:11,80,0,25
29-Jul,65,55,2:58:56,25,0,10
29-Jul,55,43,1:50:34,20,0,12
1-Jul,89.6,78.8,1:31:29,28,0,10.8
1-Jul,78.8,67.2,1:23:26,27,0,11.6
5-Jul,88.8,68.4,3:22:03,32,0,20.4
5-Jul,68,42.8,4:25:32,45,0,25.2
6-Jul,90,70,3:46:11,33,0,20
6-Jul,69.2,41.2,4:46:27,46,0,28
7-Jul,90.8,71.2,3:31:09,40,0,19.6
8-Jul,88.4,68.4,3:24:05,32,0,20
8-Jul,68,56.4,2:14:43,23,0,11.6
8-Jul,56.8,52,0:47:14,8,0,4.8
8-Jul,52,43.6,1:02:20,13,0,8.4
11-Jul,89.6,68.8,2:38:50,53.28,0,20.8
11-Jul,68.8,50.4,2:42:51,27.96,0,18.4
12-Jul,89.2,65.2,3:34:06,57.17,0,24
12-Jul,90.8,77.6,1:43:33,28.97,0,13.2
13-Jul,90.8,79.2,1:22:27,17.09,0,11.6
13-Jul,79.2,68.8,1:43:33,17.24,0,10.4
13-Jul,68,60.8,0:52:15,14.6,0,7.2
13-Jul,60.4,54.8,0:50:16,9.32,0,5.6
13-Jul,54.4,49.2,0:50:15,9.24,0,5.2
13-Jul,49.2,40.4,1:07:21,13.75,0,8.8
14-Jul,90.4,68,3:35:07,57.24,0,22.4
14-Jul,90,71.6,2:41:49,43.96,0,18.4
14-Jul,70.8,56.8,2:56:55,33.09,0,14
15-Jul,90,72,3:32:08,35.57,0,18
15-Jul,88.8,64.4,3:38:08,62.06,0,24.4
18-Jul,89.6,71.6,3:41:10,34.88,0,18
18-Jul,68.8,54.4,1:33:30,28.5,0,14.4
18-Jul,54.4,40.4,1:39:30,28.66,0,14
19-Jul,90.4,80,1:25:27,17.24,0,10.4
19-Jul,80,71.6,1:37:31,16.78,0,8.4
19-Jul,70.8,64.8,0:56:17,14.76,0,6
19-Jul,64.8,58.4,0:47:15,9.4,0,6.4
19-Jul,58.4,52.4,0:47:15,9.16,0,6
19-Jul,52.4,44,1:01:19,14.91,0,8.4
11-Jul,90.8,69.2,2:32:47,58.87,0,21.6
11-Jul,69.2,67.6,0:31:10,2.49,0,1.6
11-Jul,67.6,60.4,1:21:25,13.59,0,7.2
11-Jul,60,51.2,1:22:25,13.51,0,8.8
11-Jul,50.8,49.2,0:18:06,2.64,0,1.6
11-Jul,49.2,40,1:18:25,13.2,0,9.2
13-Jul,89.2,88.8,0:12:04,0.39,0,0.4
13-Jul,88.8,77.6,1:48:33,22.14,0,11.2
14-Jul,89.2,69.2,3:34:06,41.48,0,20
15-Jul,90.4,78,1:16:23,16.85,0,12.4
15-Jul,78,67.2,1:43:32,17.71,0,10.8
15-Jul,66.8,60.4,0:49:15,14.37,0,6.4
15-Jul,60.4,54.4,0:54:17,9.55,0,6
15-Jul,54.4,49.2,0:44:13,9.17,0,5.2
15-Jul,49.2,40.4,1:08:21,15.07,0,8.8
18-Jul,86,62.8,3:05:58,61.67,0,23.2
18-Jul,62.8,56,1:21:25,13.36,0,6.8
18-Jul,56,49.2,1:22:25,13.59,0,6.8
18-Jul,49.2,41.2,1:30:28,15.77,0,8
18-Jul,90.4,61.6,3:58:14,60.43,0,28.8
11-Jul,89.6,67.2,3:39:08,41.55,0,22.4
11-Jul,90,58,3:59:14,62.53,0,32
12-Jul,89.6,78.4,1:18:24,17.09,0,11.2
12-Jul,78,68.8,1:39:30,15.53,0,9.2
12-Jul,68.4,62,1:00:19,14.6,0,6.4
12-Jul,61.6,56,0:45:14,9.24,0,5.6
12-Jul,56,50.8,0:45:14,9.32,0,5.2
12-Jul,50.4,48,0:15:05,3.34,0,2.4
12-Jul,47.6,41.6,0:46:13,11.73,0,6
13-Jul,90.4,71.2,3:37:08,41.4,0,19.2
13-Jul,68.8,42.8,4:11:19,35.19,0,26
14-Jul,90.4,47.6,8:35:38,80.78,0,42.8
15-Jul,91.2,78.8,2:18:43,32.78,0,12.4
15-Jul,77.8,69.6,1:05:20,22.52,0,8.2
15-Jul,89.6,66.8,4:05:16,35.19,0,22.8
15-Jul,86.4,63.2,3:42:08,60.12,0,23.2
16-Jul,62.8,53.6,2:19:42,25.55,0,9.2
18-Jul,89.2,69.6,3:34:07,41.48,0,19.6
18-Jul,67.2,45.2,4:07:17,35.34,0,22
19-Jul,86.8,66.8,1:53:36,47.07,0,20
19-Jul,66.8,39.6,2:56:54,51.19,0,27.2
19-Jul,90.4,69.2,3:08:54,38.37,0,21.2
19-Jul,68.8,58,1:21:24,22.29,0,10.8
19-Jul,58,49.6,1:29:28,17.16,0,8.4
19-Jul,49.6,47.6,0:25:08,6.6,0,2
19-Jul,90.4,35.6,8:43:40,123.81,0,54.8
